0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:18:06 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:18:24 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4224
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:18:33 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4243
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:18:53 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4247
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:19:05 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:21:20 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4340
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:21:49 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4457
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:22:11 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:22:11 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:22:11 +0900] "GET /lab/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:22:28 +0900] "GET /lab/all_course.jsp?searchText=%ED%9A%8C%EA%B3%84%EC%9B%90%EB%A6%AC HTTP/1.1" 200 4463
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:22:33 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 7650
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:24:08 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:24:36 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 8007
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:24:42 +0900] "GET /lab/all_course.jsp?searchMajor=%EC%86%8C%ED%94%84%ED%8A%B8%EC%9B%A8%EC%96%B4%ED%95%99%EB%B6%80 HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:25:26 +0900] "GET /lab/all_course.jsp?searchMajor=%EC%86%8C%ED%94%84%ED%8A%B8%EC%9B%A8%EC%96%B4%ED%95%99%EB%B6%80 HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:28:48 +0900] "GET /lab/all_course.jsp?searchMajor=%EC%86%8C%ED%94%84%ED%8A%B8%EC%9B%A8%EC%96%B4%ED%95%99%EB%B6%80 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:28:48 +0900] "GET /lab/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:28:48 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:28:51 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 8007
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:28:56 +0900] "GET /lab/all_course.jsp?searchMajor=%EA%B2%BD%EC%98%81%ED%95%99%EB%B6%80 HTTP/1.1" 200 5712
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:28:57 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 8007
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:28:59 +0900] "GET /lab/insert.jsp HTTP/1.1" 200 3161
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:29:56 +0900] "GET /lab/insert.jsp HTTP/1.1" 200 13751
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:30:05 +0900] "GET /lab/insert_verify.jsp?c_id=101098&c_id_no=1 HTTP/1.1" 500 2573
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:30:33 +0900] "GET /lab/insert.jsp HTTP/1.1" 200 13751
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:30:38 +0900] "GET /lab/insert_verify.jsp?c_id=101098&c_id_no=1 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:31:11 +0900] "GET /lab/insert_verify.jsp?c_id=101098&c_id_no=1 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:17 +0900] "GET /lab/insert_verify.jsp HTTP/1.1" 500 2591
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:17 +0900] "GET /lab/insert_verify.jsp?c_id=101098&c_id_no=1 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:25 +0900] "GET /lab/sql/verify_enroll.sql HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:33 +0900] "GET /lab/insert.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:33 +0900] "GET /lab/login.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:33 +0900] "GET /lab/style.css?after HTTP/1.1" 200 7267
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:40 +0900] "POST /lab/login_verify.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:40 +0900] "GET /lab/main.jsp HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:42 +0900] "GET /lab/insert.jsp HTTP/1.1" 200 13751
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:43 +0900] "GET /lab/delete.jsp HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:43 +0900] "GET /lab/style.css HTTP/1.1" 200 7267
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:45 +0900] "GET /lab/insert.jsp HTTP/1.1" 200 13751
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:32:47 +0900] "GET /lab/insert_verify.jsp?c_id=101098&c_id_no=1 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:34:38 +0900] "GET /lab/delete.jsp HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:34:42 +0900] "GET /lab/history.jsp HTTP/1.1" 500 2525
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:34:55 +0900] "GET /lab/history.jsp HTTP/1.1" 500 2525
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:35:16 +0900] "GET /lab/history.jsp HTTP/1.1" 200 3348
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:35:36 +0900] "GET /lab/delete.jsp HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:37:22 +0900] "GET /lab/delete.jsp HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:39:19 +0900] "GET /lab/logout.jsp HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:39:20 +0900] "GET /lab/main.jsp HTTP/1.1" 200 1581
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:39:20 +0900] "GET /lab/style.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:39:21 +0900] "GET /lab/login.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:39:27 +0900] "POST /lab/login_verify.jsp HTTP/1.1" 302 -
